Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,56,Male,Belt,Clothing,31,Kentucky,L,Red,Fall,3.2,No,2-Day Shipping,Yes,Yes,30,Cash,Annually
2,69,Male,Coat,Accessories,54,North Dakota,S,Red,Spring,3.8,No,Standard,Yes,Yes,23,Credit Card,Fortnightly
3,46,Male,Sneakers,Clothing,89,Maryland,S,Lavender,Fall,4.2,No,Express,No,No,20,Debit Card,Weekly
4,32,Female,Dress,Outerwear,91,Kansas,S,Teal,Fall,4.4,No,Express,No,No,23,Apple Pay,Monthly
5,60,Male,Sandals,Clothing,40,Georgia,XL,Beige,Summer,4.3,No,Free Shipping,No,No,26,Apple Pay,Annually
6,25,Female,Sweater,Clothing,80,North Dakota,L,Blue,Winter,3.0,Yes,Next Day Air,Yes,Yes,48,PayPal,Weekly
7,38,Female,Skirt,Accessories,54,Texas,XL,Brown,Fall,2.8,No,Free Shipping,Yes,Yes,47,Credit Card,Weekly
8,56,Male,Heels,Clothing,67,Georgia,S,Pink,Spring,3.9,Yes,Free Shipping,No,No,14,Cash,Bi-Weekly
9,36,Male,Sweater,Footwear,34,New Jersey,S,Charcoal,Summer,3.0,Yes,Standard,Yes,Yes,48,Apple Pay,Quarterly
10,40,Male,Blouse,Footwear,90,New Jersey,XL,Gold,Fall,2.7,No,Next Day Air,Yes,Yes,31,Venmo,Fortnightly
11,28,Male,T-Shirt,Footwear,34,Missouri,S,Yellow,Summer,3.8,Yes,Next Day Air,Yes,Yes,27,Venmo,Quarterly
12,28,Female,Sweater,Footwear,25,Virginia,L,Orange,Spring,3.3,No,Standard,No,No,9,PayPal,Bi-Weekly
13,41,Male,Sandals,Outerwear,100,Texas,M,Yellow,Summer,4.4,No,2-Day Shipping,No,No,23,PayPal,Fortnightly
14,70,Female,Tie,Clothing,87,South Dakota,XL,Gray,Winter,3.3,No,Ground,No,No,10,Debit Card,Bi-Weekly
15,53,Female,Dress,Footwear,41,Connecticut,M,Teal,Fall,4.9,No,Standard,Yes,Yes,47,Credit Card,Weekly
16,57,Female,Shorts,Accessories,51,Washington,M,Maroon,Fall,4.4,No,2-Day Shipping,Yes,Yes,23,PayPal,Annually
17,41,Female,Belt,Clothing,41,Maryland,M,Yellow,Winter,2.6,No,2-Day Shipping,No,No,10,Debit Card,Fortnightly
18,20,Male,Blouse,Clothing,46,Kentucky,XL,Maroon,Spring,3.8,No,Next Day Air,No,No,2,Debit Card,Fortnightly
19,39,Male,Heels,Outerwear,34,Arizona,S,Burgundy,Spring,3.9,No,Standard,Yes,Yes,37,Debit Card,Weekly
20,70,Male,Coat,Clothing,63,Washington,L,Red,Summer,4.2,Yes,Standard,Yes,Yes,40,Apple Pay,Monthly
21,19,Male,Sandals,Clothing,28,Virginia,S,Yellow,Fall,3.7,Yes,Next Day Air,No,No,38,Apple Pay,Weekly
22,41,Male,Dress,Clothing,53,South Carolina,L,Blue,Spring,3.7,No,Free Shipping,No,No,38,Cash,Bi-Weekly
23,61,Female,Boots,Footwear,92,Oklahoma,S,Mint,Winter,3.4,No,Standard,No,No,1,PayPal,Weekly
24,47,Female,Hat,Clothing,34,Montana,M,Lavender,Winter,3.2,No,Ground,No,No,48,Apple Pay,Fortnightly
25,55,Male,Blouse,Footwear,81,Georgia,M,Orange,Winter,4.9,No,Ground,No,No,18,Venmo,Weekly
26,19,Male,Sneakers,Outerwear,64,North Dakota,L,Gray,Spring,3.3,Yes,Express,No,No,35,Debit Card,Quarterly
27,38,Male,Scarf,Clothing,91,Indiana,XL,Purple,Winter,2.7,Yes,Express,Yes,Yes,7,Venmo,Weekly
28,50,Male,Blouse,Footwear,77,Delaware,S,Blue,Fall,2.9,No,Standard,Yes,Yes,44,Cash,Annually
29,29,Female,Dress,Accessories,38,Nebraska,M,Beige,Spring,4.6,No,2-Day Shipping,No,No,42,Credit Card,Every 3 Months
30,39,Male,Shorts,Footwear,35,Georgia,L,Red,Spring,4.0,No,Ground,Yes,Yes,22,Cash,Weekly
31,61,Male,Watch,Outerwear,94,Wyoming,S,Silver,Fall,4.4,No,Ground,Yes,Yes,25,Cash,Weekly
32,42,Male,Dress,Clothing,27,Iowa,L,Orange,Winter,4.5,Yes,Next Day Air,No,No,42,PayPal,Every 3 Months
33,66,Male,Backpack,Outerwear,52,Oregon,XL,Olive,Spring,4.6,No,Ground,Yes,Yes,23,Debit Card,Annually
34,44,Male,T-Shirt,Clothing,93,Michigan,XL,Maroon,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,9,Cash,Monthly
35,59,Male,Sweater,Clothing,37,Vermont,S,Lavender,Fall,2.9,No,Express,Yes,Yes,27,Debit Card,Monthly
36,45,Male,Skirt,Clothing,54,Wyoming,XL,Pink,Summer,2.9,No,Express,No,No,11,Venmo,Monthly
37,33,Male,Wallet,Clothing,62,New Mexico,S,Pink,Winter,3.9,No,Next Day Air,No,No,27,Credit Card,Quarterly
38,32,Male,Tie,Outerwear,69,Alaska,S,Red,Winter,3.4,No,Express,No,No,40,Credit Card,Annually
